# Source: https://acqp.ca/resources/ (live HTML table)   Fetched 2026-07-26.
# Four province blocks side by side, each a (name, abbr) pair:
#   Newfoundland & Labrador (divisions), Prince Edward Island, New Brunswick,
#   Nova Scotia.  The sponsor's own totals are NS 18, NB 15, PE 3, NL 11 = 47.
Atlantic Canada QSO Party - Provinces & County/Division Abbreviations
Newfoundland & Labrador (NL)	Prince Edward Island (3)	New Brunswick (15)	Nova Scotia (18)
Division	Abbr	County	Abbr	County	Abbr	County	Abbr
Div 1: Avalon Peninsula-St. John's	NLASJ	Kings	PEKGS	Albert	NBALB	Annapolis	NSANP
Div 2: Burin Peninsula-Marystown	NLBMT	Queens	PEQNS	Carleton	NBCAR	Antigonish	NSATG
Div 3:South Coast-Channel-Port aux Basques	NLSCB	Prince	PEPRN	Charlotte	NBCHA	Cape Breton	NSCBR
Div 4: St. George's - Stephenville	NLSGS			Gloucester	NBGLO	Colchester	NSCOL
Div 5: Humber District-Corner Brook	NLHCB			Kent	NBKEN	Cumberland	NSCMB
Div 6: Central Newfoundland-Grand Falls-Windsor	NLGFW			Kings	NBKGS	Digby	NSDIG
Div 7: Bonavista / Trinity-Clarenville	NLBTC			Madawaska	NBMAD	Guysborough	NSGUY
Div 8: Notre Dame Bay-Lewisporte	NLNDL			Northumberland	NBNOR	Halifax	NSHRM
Div 9: Northern Peninsula-St. Anthony	NLNSA			Queens	NBQNS	Hants	NSHNT
Div 10:  Labrador - Happy Valley-Goose Bay	NLLGB			Restigouche	NBRES	Inverness	NSINV
Div 11: Nunatsiavut-Nain	NLLNN			Saint John	NBSJC	Kings	NSKGS
				Sunbury	NBSUN	Lunenburg	NSLUN
				Victoria	NBVIC	Pictou	NSPIC
				Westmorland	NBWES	Queens	NSQNS
				York	NBYOR	Richmond	NSRIC
						Shelburne	NSSHL
						Victoria	NSVIC
						Yarmouth	NSYAR
