section,call,opmode,remote,qsos,bumblebees,optime,score,club
Bumblebee LP,N7CQR,,,12,8,3,288,
Bumblebee QRP,N5GW,,,79,52,3.5,"12,324",
Bumblebee QRP,N8EU,,,80,38,4,"9,120",
Bumblebee QRP,AB9CA,,,70,35,2.5,"7,350",
Bumblebee QRP,N3AQC,,,45,41,4,"5,535",
Bumblebee QRP,KU3J,,,44,34,3,"4,488",Skyview Radio Society
Bumblebee QRP,N2DGQ,,,44,33,4,"4,356",
Bumblebee QRP,N1RWJ,,,60,23,3,"4,140",
Bumblebee QRP,WB2FUV,,,51,26,3,"3,978",HVCDX
Bumblebee QRP,NM4J,,,43,29,4,"3,741",
Bumblebee QRP,N2TNN,,,40,30,3,"3,600",NAQCC
Bumblebee QRP,W4KAC,,x,34,32,3.25,"3,264",
Bumblebee QRP,N3FEL,,,49,21,4,"3,087",
Bumblebee QRP,K3ES,,,46,22,4,"3,036",Skyview Radio Society
Bumblebee QRP,VE3MM,,,35,28,2,"2,940",CCO
Bumblebee QRP,K8FC,,,38,23,1.5,"2,622",
Bumblebee QRP,AB4PP,,,31,27,3,"2,511",PVRC
Bumblebee QRP,KB4VU,,,33,25,2.5,"2,475",
Bumblebee QRP,K4PQC,,,29,26,2:11,"2,262",NFARL
Bumblebee QRP,W4NLT,,,27,25,3.75,"2,025",NAQCC
Bumblebee QRP,WA7LNW,,,45,15,3,"2,025",Collins Aerospace Radio Group - Utah
Bumblebee QRP,AA2AD,,,26,24,3,"1,872",
Bumblebee QRP,WD9HBC,,,36,17,3.5,"1,836",
Bumblebee QRP,KO4BHX/BB,,,25,24,3.5,"1,800",
Bumblebee QRP,NM3A,,,25,20,2,"1,500",Skyview Radio Society
Bumblebee QRP,WN1MB,,,22,21,3.5,"1,386",
Bumblebee QRP,WA5RML,,,25,18,2.5,"1,350",DFWCG
Bumblebee QRP,N9OHW,,,28,16,3.5,"1,344",
Bumblebee QRP,WI2W,,,25,17,3.5,"1,275",
Bumblebee QRP,N4KGL,,,22,19,4,"1,254",ACG
Bumblebee QRP,AA3RT,,,23,17,5,"1,173",
Bumblebee QRP,AC3IE,,,19,18,3.5,"1,026",Skyview Radio Society
Bumblebee QRP,K3JZD,,,19,17,4.0,969,
Bumblebee QRP,KA3MTT,,,21,15,,945,
Bumblebee QRP,WB3GCK,,,18,17,1.5,918,
Bumblebee QRP,AA5EN,,,20,15,3,900,
Bumblebee QRP,NN5DE,,,21,13,4,819,DFWCG
Bumblebee QRP,N2JJF,,,17,16,,816,
Bumblebee QRP,NI4K,,,20,12,2.5,720,
Bumblebee QRP,AC7A,,,17,13,,663,
Bumblebee QRP,NI4U,,,14,14,3,588,NAQCC
Bumblebee QRP,K3RKC,,,14,13,4,546,
Bumblebee QRP,AG3I,,,14,13,1,546,Skyview Radio Society
Bumblebee QRP,NK9G,,,9,19,4,513,
Bumblebee QRP,VE3HQZ,,,13,13,4,507,
Bumblebee QRP,NA1L,,x,14,10,2.5,420,
Bumblebee QRP,WK8S(@WK8SQ),,,14,10,3,420,
Bumblebee QRP,KK4ITX,,,15,8,3.5,360,NAQCC
Bumblebee QRP,K2SQS,,,10,9,1.5,270,
Bumblebee QRP,KE3V,,,9,8,2,216,NAQCC
Bumblebee QRP,AA1SB,,,10,7,4,210,
Bumblebee QRP,NK1N,,,9,7,3.5,189,
Bumblebee QRP,K6TR,,,11,5,4,165,
Bumblebee QRP,AG4P,,,9,6,2,162,
Bumblebee QRP,KD9YEY,,,12,4,,144,
Bumblebee QRP,KI4DEF,,,7,6,1,126,
Bumblebee QRP,KD4Y,,,7,6,3,126,
Bumblebee QRP,AC6J/BB,,x,8,5,1.25,120,
Bumblebee QRP,N8HN,,,2,18,2.5,108,
Bumblebee QRP,W4CMG,,,6,6,1,108,TCG
Bumblebee QRP,W2ELS,,,14,2,,84,
Bumblebee QRP,WD8RIF,,,7,4,1,84,
Bumblebee QRP,K4EGK,,,9,3,1.5,81,
Bumblebee QRP,W1MP,,,5,5,1,75,
Bumblebee QRP,K6EI,,,6,4,.3,72,NCCC
Bumblebee QRP,K3EMS,,,6,4,2,72,
Bumblebee QRP,K3RLL,,,5,4,1,60,
Bumblebee QRP,WD9EGW,,,5,4,,60,
Bumblebee QRP,W8VQ,,x,4,4,1,48,
Bumblebee QRP,W1PID,,,8,1,.75,24,
Bumblebee QRP,W4MUS,,,2,2,1.2,12,
Bumblebee QRP,K6EL,,,2,2,,12,
Bumblebee QRP,VA2NW,,,2,2,2,12,CCO
Bumblebee QRP,G4CIB/P,,,1,1,2,3,
Bumblebee QRP,K4UPG,,,0,0,0,0,
Home LP,N9JL,,,10,10,,300,
Home QRP,N4MJ,,,30,28,3.3,"2,520",
Home QRP,WB9HFK,,,39,20,4,"2,340",NAQCC
Home QRP,K4BAI,,,32,24,2:40,"2,304",SECC
Home QRP,WC5T,,,33,9,,891,
Home QRP,NR5N,,,19,14,2,798,Uniontown ARC
Home QRP,W5ESE,,,13,10,3,390,AUSTIN QRP CLUB
Home QRP,N4HAY,,,7,7,1,147,Knightlites QRP club
Home QRP,WA4AAK,,,7,6,1,126,
Home QRP,N6MU,,,7,6,,126,SCCC
Home QRP,KD2KW,,,5,4,,60,LAARK
Home QRP,K1PAP,,,4,4,3:00,48,
Home QRP,N1ZN,,,3,3,1,27,
Home QRP,WR4W,,,2,2,1,12,SFCG
Home QRP,N9WVM,,,1,1,,3,
