# Source: https://floridaqsoparty.org/counties/counties-list/ (live HTML table)
# Fetched 2026-07-26.  Three county/abbreviation pairs per row.
# The page warns about its own trap in so many words:
#   'Pay attention to "MIAMI-DADE" COUNTY as the abbreviation is DAD.'
ALACHUA	ALC		HAMILTON	HAM		OKEECHOBEE	OKE
BAKER	BAK		HARDEE	HAR		ORANGE	ORA
BAY	BAY		HENDRY	HEN		OSCEOLA	OSC
BRADFORD	BRA		HERNANDO	HER		PALM BEACH	PAL
BREVARD	BRE		HIGHLANDS	HIG		PASCO	PAS
BROWARD	BRO		HILLSBOROUGH	HIL		PINELLAS	PIN
CALHOUN	CAH		HOLMES	HOL		POLK	POL
CHARLOTTE	CHA		INDIAN RIVER	IDR		PUTNAM	PUT
CITRUS	CIT		JACKSON	JAC		SANTA ROSA	SAN
CLAY	CLA		JEFFERSON	JEF		SARASOTA	SAR
COLLIER	CLR		LAFAYETTE	LAF		SEMINOLE	SEM
COLUMBIA	CLM		LAKE	LAK		ST. JOHNS	STJ
MIAMI-DADE	DAD		LEE	LEE		ST. LUCIE	STL
DESOTO	DES		LEON	LEO		SUMTER	SUM
DIXIE	DIX		LEVY	LEV		SUWANNEE	SUW
DUVAL	DUV		LIBERTY	LIB		TAYLOR	TAY
ESCAMBIA	ESC		MADISON	MAD		UNION	UNI
FLAGLER	FLG		MANATEE	MTE		VOLUSIA	VOL
FRANKLIN	FRA		MARION	MAO		WAKULLA	WAK
GADSDEN	GAD		MARTIN	MRT		WALTON	WAL
GILCHRIST	GIL		MONROE	MON		WASHINGTON	WAG
GLADES	GLA		NASSAU	NAS			
GULF	GUL		OKALOOSA	OKA			
