# Source: https://gaqsoparty.com/county-list/ (live HTML table)
# Fetched: 2026-07-26. Four columns per row: County, Abbr, County, Abbr.
County	Abbreviation	County	Abbreviation
Appling	APPL	Jeff Davis	JFDA
Atkinson	ATKN	Jefferson	JEFF
Bacon	BACN	Jenkins	JENK
Baker	BAKR	Johnson	JOHN
Baldwin	BALD	Jones	JONE
Banks	BANK	Lamar	LAMA
Barrow	BARR	Lanier	LANI
Bartow	BART	Laurens	LAUR
Ben Hill	BENH	Lee	LEE
Berrien	BERR	Liberty	LIBE
Bibb	BIBB	Lincoln	LINC
Bleckley	BLEC	Long	LONG
Brantley	BRAN	Lowndes	LOWN
Brooks	BROK	Lumpkin	LUMP
Bryan	BRYN	McDuffie	MCDU
Bulloch	BULL	McIntosh	MCIN
Burke	BURK	Macon	MACO
Butts	BUTT	Madison	MADI
Calhoun	CALH	Marion	MARI
Camden	CMDN	Meriwether	MERI
Candler	CAND	Miller	MILL
Carroll	CARR	Mitchell	MITC
Catoosa	CATO	Monroe	MNRO
Charlton	CHAR	Montgomery	MONT
Chatham	CHTM	Morgan	MORG
Chattahoochee	CHAT	Murray	MURR
Chattooga	CHGA	Muscogee	MUSC
Cherokee	CHER	Newton	NEWT
Clarke	CLKE	Oconee	OCON
Clay	CLAY	Oglethorpe	OGLE
Clayton	CLTN	Paulding	PAUL
Clinch	CLCH	Peach	PEAC
Cobb	COBB	Pickens	PICK
Coffee	COFF	Pierce	PIER
Colquitt	COLQ	Pike	PIKE
Columbia	COLU	Polk	POLK
Cook	COOK	Pulaski	PULA
Coweta	COWE	Putnam	PUTN
Crawford	CRAW	Quitman	QUIT
Crisp	CRIS	Rabun	RABU
Dade	DADE	Randolph	RAND
Dawson	DAWS	Richmond	RICH
Decatur	DECA	Rockdale	ROCK
DeKalb	DKLB	Schley	SCHL
Dodge	DODG	Screven	SCRE
Dooly	DOOL	Seminole	SEMI
Dougherty	DHTY	Spalding	SPAL
Douglas	DOUG	Stephens	STEP
Early	EARL	Stewart	STWT
Echols	ECHO	Sumter	SUMT
Effingham	EFFI	Talbot	TLBT
Elbert	ELBE	Taliaferro	TALI
Emanuel	EMAN	Tattnall	TATT
Evans	EVAN	Taylor	TAYL
Fannin	FANN	Telfair	TELF
Fayette	FAYE	Terrell	TERR
Floyd	FLOY	Thomas	THOM
Forsyth	FORS	Tift	TIFT
Franklin	FRAN	Toombs	TOOM
Fulton	FULT	Towns	TOWN
Gilmer	GILM	Treutlen	TREU
Glascock	GLAS	Troup	TROU
Glynn	GLYN	Turner	TURN
Gordon	GORD	Twiggs	TWIG
Grady	GRAD	Union	UNIO
Greene	GREE	Upson	UPSO
Gwinnett	GWIN	Walker	WLKR
Habersham	HABE	Walton	WALT
Hall	HALL	Ware	WARE
Hancock	HANC	Warren	WARR
Haralson	HARA	Washington	WASH
Harris	HARR	Wayne	WAYN
Hart	HART	Webster	WEBS
Heard	HEAR	Wheeler	WHEE
Henry	HNRY	White	WHIT
Houston	HOUS	Whitfield	WFLD
Irwin	IRWI	Wilcox	WCOX
Jackson	JACK	Wilkes	WILK
Jasper	JASP	Wilkinson	WKSN
		Worth	WORT
