# Source: http://7qp.org/new/Page.asp?content=geo  ('States & Counties')
# Fetched 2026-07-26.
#
# A state header row carries the 2-letter state, its name, and the word 'map'.
# County rows carry five (3-letter code, name) pairs at stride 3.
# THE EXCHANGE CODE IS THE TWO CONCATENATED: 'AZ' + 'YVP' = AZYVP, which the
#   page states outright - 'Exchange state and county, e.g. AZYVP for Yavapai AZ.'
AZ	Arizona		map										
APH	Apache		GLA	Gila		LPZ	La Paz		NVO	Navajo		SCZ	Santa Cruz
CHS	Cochise		GHM	Graham		MCP	Maricopa		PMA	Pima		YVP	Yavapai
CNO	Coconino		GLE	Greenlee		MHV	Mohave		PNL	Pinal		YMA	Yuma
													
ID	Idaho		map										
ADA	Ada		BNV	Bonneville		CUS	Custer		KOO	Kootenai		OWY	Owyhee
ADM	Adams		BOU	Boundary		ELM	Elmore		LAT	Latah		PAY	Payette
BAN	Bannock		BUT	Butte		FRA	Franklin		LEM	Lemhi		POW	Power
BEA	Bear Lake		CAM	Camas		FRE	Fremont		LEW	Lewis		SHO	Shoshone
BEN	Benewah		CAN	Canyon		GEM	Gem		LIN	Lincoln		TET	Teton
BIN	Bingham		CAR	Caribou		GOO	Gooding		MAD	Madison		TWI	Twin Falls
BLA	Blaine		CAS	Cassia		IDA	Idaho		MIN	Minidoka		VAL	Valley
BOI	Boise		CLA	Clark		JEF	Jefferson		NEZ	Nez Perce		WAS	Washington
BNR	Bonner		CLE	Clearwater		JER	Jerome		ONE	Oneida			
													
MT	Montana		map										
BEA	Beaverhead		FAL	Fallon		LAK	Lake		PET	Petroleum		SHE	Sheridan
BIG	Big Horn		FER	Fergus		LEW	Lewis & Clark		PHI	Phillips		SIL	Silver Bow
BLA	Blaine		FLA	Flathead		LIB	Liberty		PON	Pondera		STI	Stillwater
BRO	Broadwater		GAL	Gallatin		LIN	Lincoln		PWD	Powder River		SWE	Sweet Grass
CRB	Carbon		GAR	Garfield		MAD	Madison		PWL	Powell		TET	Teton
CRT	Carter		GLA	Glacier		MCC	McCone		PRA	Prairie		TOO	Toole
CAS	Cascade		GOL	Golden Valley		MEA	Meagher		RAV	Ravalli		TRE	Treasure
CHO	Chouteau		GRA	Granite		MIN	Mineral		RIC	Richland		VAL	Valley
CUS	Custer		HIL	Hill		MIS	Missoula		ROO	Roosevelt		WHE	Wheatland
DAN	Daniels		JEF	Jefferson		MUS	Musselshell		ROS	Rosebud		WIB	Wibaux
DAW	Dawson		JUD	Judith Basin		PAR	Park		SAN	Sanders		YEL	Yellowstone
DEE	Deer Lodge												
													
NV	Nevada		map										
CAR	Carson City		ELK	Elko		LAN	Lander		MIN	Mineral		STO	Storey
CHU	Churchill		ESM	Esmeralda		LIN	Lincoln		NYE	Nye		WAS	Washoe
CLA	Clark		EUR	Eureka		LYO	Lyon		PER	Pershing		WHI	White Pine
DOU	Douglas		HUM	Humboldt									
													
OR	Oregon		map										
BAK	Baker		DES	Deschutes		JEF	Jefferson		MAL	Malheur		UMA	Umatilla
BEN	Benton		DOU	Douglas		JOS	Josephine		MAR	Marion		UNI	Union
CLK	Clackamas		GIL	Gilliam		KLA	Klamath		MOR	Morrow		WAL	Wallowa
CLT	Clatsop		GRA	Grant		LAK	Lake		MUL	Multnomah		WCO	Wasco
COL	Columbia		HAR	Harney		LAN	Lane		POL	Polk		WSH	Washington
COO	Coos		HOO	Hood River		LCN	Lincoln		SHE	Sherman		WHE	Wheeler
CRO	Crook		JAC	Jackson		LNN	Linn		TIL	Tillamook		YAM	Yamhill
CUR	Curry												
													
UT	Utah		map										
BEA	Beaver		DUC	Duchesne		KAN	Kane		SNJ	San Juan		UTA	Utah
BOX	Box Elder		EME	Emery		MIL	Millard		SNP	Sanpete		WST	Wasatch
CAC	Cache		GAR	Garfield		MOR	Morgan		SEV	Sevier		WSH	Washington
CAR	Carbon		GRA	Grand		PIU	Piute		SUM	Summit		WAY	Wayne
DAG	Daggett		IRO	Iron		RIC	Rich		TOO	Tooele		WEB	Weber
DAV	Davis		JUA	Juab		SAL	Salt Lake		UIN	Uintah			
													
WA	Washington		map										
ADA	Adams		DOU	Douglas		KLI	Klickitat		PAC	Pacific		STE	Stevens
ASO	Asotin		FER	Ferry		KNG	King		PEN	Pend Oreille		THU	Thurston
BEN	Benton		FRA	Franklin		KTP	Kitsap		PIE	Pierce		WAH	Wahkiakum
CHE	Chelan		GAR	Garfield		KTT	Kittitas		SAN	San Juan		WAL	Walla Walla
CLL	Clallam		GRN	Grant		LEW	Lewis		SKG	Skagit		WHA	Whatcom
CLR	Clark		GRY	Grays Harbor		LIN	Lincoln		SKM	Skamania		WHI	Whitman
COL	Columbia		ISL	Island		MAS	Mason		SNO	Snohomish		YAK	Yakima
COW	Cowlitz		JEF	Jefferson		OKA	Okanogan		SPO	Spokane			
													
WY	Wyoming		map										
ALB	Albany		CRO	Crook		LAR	Laramie		PLA	Platte		TET	Teton
BIG	Big Horn		FRE	Fremont		LIN	Lincoln		SHE	Sheridan		UIN	Uinta
CAM	Campbell		GOS	Goshen		NAT	Natrona		SUB	Sublette		WAS	Washakie
CAR	Carbon		HOT	Hot Springs		NIO	Niobrara		SWE	Sweetwater		WES	Weston
CON	Converse		JOH	Johnson		PAR	Park						
													
